datetime,symbol,_id,timestamp,exchange,inserted_datetime,interval,longAccount,long_OI,long_OI_change,long_OI_pct_change,sumOpenInterest,sumOpenInterestValue,sum_OI_change,sum_OI_pct_change,open,high,low,close,volume,price_change,price_pct_change
2024-08-07 17:30:00,HIGHUSDT,66b4fdc374a4db6d2d445174,1723051800000,Binance,2024-08-09 01:17:21,15m,0.7533,4279279.219649999,,,5680710.5,6845177.64508089,,,1.2056,1.2069,1.2044,1.2062,23161.6,0.0005999999999999,0.0004976775049767
2024-08-07 17:45:00,HIGHUSDT,66b4fdc374a4db6d2d445178,1723052700000,Binance,2024-08-09 01:17:21,15m,0.7506,4262155.2486000005,-17123.9710499989,-0.0040016017,5678331.0,6870840.07569219,-2379.5,-0.0004188737,1.2095,1.2126,1.2091,1.2119,10630.6,0.0023999999999999,0.0019842910293509
2024-08-07 18:00:00,HIGHUSDT,66b4c84674a4db6d2d3e8150,1723053600000,Binance,2024-08-09 01:17:21,15m,0.7516,4275017.29724,12862.0486399997,0.0030177335,5687888.9,6874185.60982628,9557.9000000004,0.0016832235,1.2071,1.2101,1.2071,1.2072,23078.7,9.9999999999989e-05,8.284317786429375e-05
2024-08-07 18:15:00,HIGHUSDT,66b4fdc374a4db6d2d44517c,1723054500000,Binance,2024-08-09 01:17:21,15m,0.7502,4264269.810459999,-10747.4867800009,-0.0025140218,5684177.3,6879008.81888431,-3711.6000000006,-0.0006525444,1.2111,1.2138,1.2102,1.2137,10770.1,0.0025999999999999,0.0021468086863181
2024-08-07 18:30:00,HIGHUSDT,66b4fdc374a4db6d2d44517e,1723055400000,Binance,2024-08-09 01:17:21,15m,0.7507,4265800.65142,1530.8409600006,0.0003589925,5682430.6,6832554.55344,-1746.7000000002,-0.0003072916,1.2024,1.2056,1.2023,1.2033,14842.9,0.0009000000000001,0.000748502994012
2024-08-07 18:45:00,HIGHUSDT,66b4fdc374a4db6d2d445180,1723056300000,Binance,2024-08-09 01:17:21,15m,0.7493,4266938.60352,1137.9521000003,0.0002667617,5694566.4,6837170.95488614,12135.8000000007,0.0021356706,1.2,1.2021,1.1982,1.2005,15630.0,0.0004999999999999,0.0004166666666666
2024-08-07 19:00:00,HIGHUSDT,66b4c84674a4db6d2d3e8152,1723057200000,Binance,2024-08-09 01:17:21,15m,0.7496,4272169.64368,5231.0401599994,0.0012259469,5699265.8,6802802.95335911,4699.3999999994,0.0008252428,1.1943,1.1959,1.1926,1.1942,14955.1,-9.9999999999989e-05,-8.373105584860504e-05
2024-08-07 19:15:00,HIGHUSDT,66b4fdc374a4db6d2d445183,1723058100000,Binance,2024-08-09 01:17:21,15m,0.7469,4269781.86866,-2387.7750199996,-0.0005589139,5716671.4,6856575.67716,17405.6000000006,0.0030540074,1.1999,1.201,1.1992,1.2003,6202.3,0.0003999999999999,0.000333361113426
2024-08-07 19:30:00,HIGHUSDT,66b4fdc474a4db6d2d445185,1723059000000,Binance,2024-08-09 01:17:21,15m,0.7546,4293248.33014,23466.4614800001,0.0054959392,5689435.9,6790190.12318327,-27235.5,-0.0047642235,1.1926,1.1926,1.1903,1.1916,18494.2,-0.0010000000000001,-0.0008385041086702
2024-08-07 19:45:00,HIGHUSDT,66b4fdc474a4db6d2d445187,1723059900000,Binance,2024-08-09 01:17:21,15m,0.7557,4307210.99556,13962.6654199995,0.003252238,5699630.8,6778122.12151081,10194.8999999994,0.0017919,1.1893,1.1904,1.1884,1.1891,9658.0,-0.0001999999999999,-0.0001681661481543
2024-08-07 20:00:00,HIGHUSDT,66b4c84674a4db6d2d3e8154,1723060800000,Binance,2024-08-09 01:17:21,15m,0.754,4308212.74,1001.7444400005,0.0002325738,5713810.0,6791434.566,14179.2000000002,0.0024877401,1.1885,1.1894,1.1859,1.1877,23903.4,-0.0007999999999999,-0.0006731173748421
2024-08-07 20:15:00,HIGHUSDT,66b4fdc474a4db6d2d44518a,1723061700000,Binance,2024-08-09 01:17:21,15m,0.7567,4329946.97016,21734.2301599998,0.0050448368,5722144.8,6796763.59344,8334.7999999998,0.0014587114,1.1882,1.1884,1.1834,1.1836,16277.8,-0.0045999999999999,-0.003871402120855
2024-08-07 20:30:00,HIGHUSDT,66b4fdc474a4db6d2d44518c,1723062600000,Binance,2024-08-09 01:17:21,15m,0.7536,4311143.71056,-18803.2596000005,-0.0043426074,5720732.1,6827121.68814,-1412.7000000002,-0.000246883,1.1933,1.1938,1.1865,1.1865,45806.2,-0.0067999999999999,-0.0056984831978546
2024-08-07 20:45:00,HIGHUSDT,66b4fdc474a4db6d2d445196,1723063500000,Binance,2024-08-09 01:17:21,15m,0.7535,4330174.54265,19030.8320900006,0.0044143349,5746747.9,6781282.51409615,26015.8000000007,0.0045476347,1.1809,1.1814,1.1787,1.1804,9022.4,-0.0005000000000001,-0.0004234058768737
