,timestamp,sumOpenInterest,sumOpenInterestValue
0,2024-08-20 00:00:00,4365322.00000000,629558530.20120480
1,2024-08-20 00:05:00,4365102.00000000,628455596.23166470
2,2024-08-20 00:10:00,4371608.00000000,627223151.78103390
3,2024-08-20 00:15:00,4366973.00000000,626765432.85200000
4,2024-08-20 00:20:00,4368058.00000000,627620045.67200000
5,2024-08-20 00:25:00,4345930.00000000,630633556.37000000
6,2024-08-20 00:30:00,4329655.00000000,633683976.14500000
7,2024-08-20 00:35:00,4317538.00000000,632376838.24600000
8,2024-08-20 00:40:00,4322497.00000000,633319292.94900000
9,2024-08-20 00:45:00,4323866.00000000,631163367.75200000
10,2024-08-20 00:50:00,4330109.00000000,633061935.80000000
11,2024-08-20 00:55:00,4334090.00000000,635824203.42459480
12,2024-08-20 01:00:00,4333050.00000000,634765826.70000000
13,2024-08-20 01:05:00,4318550.00000000,637561672.32334400
14,2024-08-20 01:10:00,4323277.00000000,634738133.86323510
15,2024-08-20 01:15:00,4330243.00000000,633635797.70400000
16,2024-08-20 01:20:00,4341117.00000000,634801538.91000000
17,2024-08-20 01:25:00,4346013.00000000,635204568.05400000
18,2024-08-20 01:30:00,4337971.00000000,632424116.14800000
19,2024-08-20 01:35:00,4335628.00000000,631965472.90800000
20,2024-08-20 01:40:00,4332326.00000000,631211233.54800000
21,2024-08-20 01:45:00,4340619.00000000,634060261.04400000
22,2024-08-20 01:50:00,4341420.00000000,633482640.72000000
23,2024-08-20 01:55:00,4336496.00000000,630794683.36642860
24,2024-08-20 02:00:00,4337245.00000000,631709552.78422470
25,2024-08-20 02:05:00,4337519.00000000,630663540.84527920
26,2024-08-20 02:10:00,4337715.00000000,630217936.92000000
27,2024-08-20 02:15:00,4336471.00000000,630622622.23300000
28,2024-08-20 02:20:00,4334566.00000000,630154870.51400000
29,2024-08-20 02:25:00,4328798.00000000,627511215.67600000
30,2024-08-20 02:30:00,4319952.00000000,626483758.99200000
31,2024-08-20 02:35:00,4316559.00000000,626328640.77335330
32,2024-08-20 02:40:00,4317927.00000000,627070948.57500000
33,2024-08-20 02:45:00,4327430.00000000,628684702.97000000
34,2024-08-20 02:50:00,4325230.00000000,628689481.42000000
35,2024-08-20 02:55:00,4325338.00000000,629062505.98872440
36,2024-08-20 03:00:00,4317617.00000000,627600171.88600000
37,2024-08-20 03:05:00,4315509.00000000,626659377.39900000
38,2024-08-20 03:10:00,4315579.00000000,626881005.54000000
39,2024-08-20 03:15:00,4315514.00000000,626656873.93909810
40,2024-08-20 03:20:00,4314295.00000000,626901577.86000000
41,2024-08-20 03:25:00,4312369.00000000,625556559.50900000
42,2024-08-20 03:30:00,4309522.00000000,627358665.15000000
43,2024-08-20 03:35:00,4309614.00000000,627806521.91639400
44,2024-08-20 03:40:00,4314252.00000000,627812847.93079040
45,2024-08-20 03:45:00,4312540.00000000,627006695.29033280
46,2024-08-20 03:50:00,4314769.00000000,626617512.13365820
47,2024-08-20 03:55:00,4314710.00000000,627134469.08000000
48,2024-08-20 04:00:00,4315226.00000000,627934426.61600000
49,2024-08-20 04:05:00,4314806.00000000,628161862.54725000
50,2024-08-20 04:10:00,4312176.00000000,627831264.72000000
51,2024-08-20 04:15:00,4307289.00000000,629348236.15423310
52,2024-08-20 04:20:00,4312557.00000000,630733024.03500000
53,2024-08-20 04:25:00,4309430.00000000,629318991.19000000
54,2024-08-20 04:30:00,4307843.00000000,628497062.32800000
55,2024-08-20 04:35:00,4306026.00000000,628913427.14841650
56,2024-08-20 04:40:00,4305840.00000000,630267648.45992640
57,2024-08-20 04:45:00,4308297.00000000,631093402.36077920
58,2024-08-20 04:50:00,4316349.00000000,633488960.98500000
59,2024-08-20 04:55:00,4326486.00000000,634547378.95179000
60,2024-08-20 05:00:00,4326791.00000000,635808957.07700000
61,2024-08-20 05:05:00,4329298.00000000,636307232.14600000
62,2024-08-20 05:10:00,4329981.00000000,637390523.12400000
63,2024-08-20 05:15:00,4336435.00000000,639333932.66766870
64,2024-08-20 05:20:00,4332896.00000000,643019097.98400000
65,2024-08-20 05:25:00,4342588.00000000,644579059.49253440
66,2024-08-20 05:30:00,4342010.00000000,641479873.38000000
67,2024-08-20 05:35:00,4338291.00000000,640726536.08100000
68,2024-08-20 05:40:00,4331167.00000000,637656061.57500000
69,2024-08-20 05:45:00,4328395.00000000,637582899.92649480
70,2024-08-20 05:50:00,4331281.00000000,636633337.78500000
71,2024-08-20 05:55:00,4323985.00000000,636221722.15899550
72,2024-08-20 06:00:00,4320214.00000000,637051137.05137670
73,2024-08-20 06:05:00,4317892.00000000,634683610.28565060
74,2024-08-20 06:10:00,4315870.00000000,633656033.40000000
75,2024-08-20 06:15:00,4312921.00000000,633762301.33345060
76,2024-08-20 06:20:00,4313642.00000000,633635187.02200000
77,2024-08-20 06:25:00,4311841.00000000,634694371.51800000
78,2024-08-20 06:30:00,4305206.00000000,634163717.57800380
79,2024-08-20 06:35:00,4312900.00000000,635635202.00000000
80,2024-08-20 06:40:00,4311348.00000000,634479528.42000000
81,2024-08-20 06:45:00,4310238.00000000,633725672.66400000
82,2024-08-20 06:50:00,4309718.00000000,633714971.16984570
83,2024-08-20 06:55:00,4304504.00000000,632643029.07818840
84,2024-08-20 07:00:00,4303145.00000000,632351460.89500000
85,2024-08-20 07:05:00,4303529.00000000,632842546.50800000
86,2024-08-20 07:10:00,4302640.00000000,632237140.99965600
87,2024-08-20 07:15:00,4309104.00000000,633166814.44800000
88,2024-08-20 07:20:00,4311768.00000000,633874495.93648540
