,symbol,rate,time
96,BTCUSDT,0.00049052,2020-02-02 00:00:00
97,BTCUSDT,0.00028263,2020-02-02 08:00:00
98,BTCUSDT,0.00034916,2020-02-02 16:00:00
99,BTCUSDT,0.00065524,2020-02-03 00:00:00
100,BTCUSDT,0.00060677,2020-02-03 08:00:00
101,BTCUSDT,0.00035862,2020-02-03 16:00:00
102,BTCUSDT,0.00010000,2020-02-04 00:00:00
103,BTCUSDT,0.00099282,2020-02-04 08:00:00
104,BTCUSDT,0.00054450,2020-02-04 16:00:00
105,BTCUSDT,0.00038192,2020-02-05 00:00:00
106,BTCUSDT,0.00010000,2020-02-05 08:00:00
107,BTCUSDT,0.00010000,2020-02-05 16:00:00
108,BTCUSDT,0.00052631,2020-02-06 00:00:00
109,BTCUSDT,0.00164021,2020-02-06 08:00:00
110,BTCUSDT,0.00078299,2020-02-06 16:00:00
111,BTCUSDT,0.00055668,2020-02-07 00:00:00
112,BTCUSDT,0.00035618,2020-02-07 08:00:00
113,BTCUSDT,0.00019726,2020-02-07 16:00:00
114,BTCUSDT,0.00034616,2020-02-08 00:00:00
115,BTCUSDT,0.00039915,2020-02-08 08:00:00
116,BTCUSDT,0.00062858,2020-02-08 16:00:00
117,BTCUSDT,0.00099315,2020-02-09 00:00:00
118,BTCUSDT,0.00042798,2020-02-09 08:00:00
119,BTCUSDT,0.00081519,2020-02-09 16:00:00
120,BTCUSDT,0.00113954,2020-02-10 00:00:00
121,BTCUSDT,0.00106733,2020-02-10 08:00:00
122,BTCUSDT,0.00125022,2020-02-10 16:00:00
123,BTCUSDT,0.00097918,2020-02-11 00:00:00
124,BTCUSDT,0.00043989,2020-02-11 08:00:00
125,BTCUSDT,0.00064797,2020-02-11 16:00:00
126,BTCUSDT,0.00050120,2020-02-12 00:00:00
127,BTCUSDT,0.00300000,2020-02-12 08:00:00
128,BTCUSDT,0.00108055,2020-02-12 16:00:00
129,BTCUSDT,0.00103884,2020-02-13 00:00:00
130,BTCUSDT,0.00093553,2020-02-13 08:00:00
131,BTCUSDT,0.00084403,2020-02-13 16:00:00
132,BTCUSDT,0.00070414,2020-02-14 00:00:00
133,BTCUSDT,0.00063320,2020-02-14 08:00:00
134,BTCUSDT,0.00074453,2020-02-14 16:00:00
135,BTCUSDT,0.00055952,2020-02-15 00:00:00
136,BTCUSDT,0.00059113,2020-02-15 08:00:00
137,BTCUSDT,0.00096860,2020-02-15 16:00:00
138,BTCUSDT,0.00087369,2020-02-16 00:00:00
139,BTCUSDT,0.00051202,2020-02-16 08:00:00
140,BTCUSDT,0.00036973,2020-02-16 16:00:00
